"participant","condition","time","decision","accuracy","threshold","bias","drift","noise"
"1","cheetah",12,"right","correct","12.4449501448816","0.476793000853006","-0.0276393999250752","-0.468890901172242"
"1","cheetah",58,"left","incorrect","12.4449501448816","0.476793000853006","-0.356762228919818","0.469249262566303"
"1","cheetah",5,"left","correct","12.4449501448816","0.476793000853006","0.32364346749616","1.22407788150091"
"1","cheetah",18,"left","incorrect","12.4449501448816","0.476793000853006","-0.152933497828012","0.520067411047666"
"1","cheetah",5,"right","correct","12.4449501448816","0.476793000853006","-0.360198463695357","-1.10986377658572"
"1","turtle",21,"left","incorrect","12.4449501448816","0.476793000853006","-0.116111827636822","0.437198626570772"
"1","turtle",41,"right","correct","12.4449501448816","0.476793000853006","-0.298498155873476","0.152243652704876"
"1","turtle",9,"right","correct","12.4449501448816","0.476793000853006","-0.217635136958233","-0.511573498321658"
"1","cheetah",4,"right","incorrect","12.4449501448816","0.476793000853006","0.348280042670638","-2.05297545586103"
"1","turtle",7,"left","incorrect","12.4449501448816","0.476793000853006","-0.105869606758919","1.15348061385815"
"1","turtle",4,"right","incorrect","12.4449501448816","0.476793000853006","0.242395405489584","-1.75885740971535"
"1","cheetah",4,"right","correct","12.4449501448816","0.476793000853006","-0.241088386107633","-1.48380894632551"
"1","cheetah",42,"right","correct","12.4449501448816","0.476793000853006","-0.222844799152206","0.0814293617890462"
"1","cheetah",9,"right","correct","12.4449501448816","0.476793000853006","-0.365588691293937","-0.359361912070522"
"1","cheetah",11,"left","incorrect","12.4449501448816","0.476793000853006","-0.199416767467084","0.810069618901861"
"1","cheetah",70,"left","incorrect","12.4449501448816","0.476793000853006","-0.328064131788635","0.421768703907697"
"1","turtle",9,"right","correct","12.4449501448816","0.476793000853006","-0.142705780802181","-0.533569176536711"
"1","cheetah",17,"left","incorrect","12.4449501448816","0.476793000853006","-0.0774625082589339","0.477987318289396"
"1","turtle",6,"left","incorrect","12.4449501448816","0.476793000853006","-0.0616976133955723","1.35931879701037"
"1","cheetah",4,"right","correct","12.4449501448816","0.476793000853006","-0.290901443744273","-1.44630501511238"
"1","cheetah",7,"left","correct","12.4449501448816","0.476793000853006","-0.0445579664928291","1.05800435967854"
"1","turtle",5,"left","correct","12.4449501448816","0.476793000853006","0.158456745156188","1.31755286856243"
"1","cheetah",4,"left","correct","12.4449501448816","0.476793000853006","0.160017570824865","1.47067969369722"
"1","cheetah",7,"left","correct","12.4449501448816","0.476793000853006","0.0875953393328335","0.914119629465378"
"1","turtle",4,"left","correct","12.4449501448816","0.476793000853006","0.126937756070934","1.89394931250479"
"1","cheetah",10,"right","correct","12.4449501448816","0.476793000853006","-0.0580387327685465","-0.539643856502298"
