"participant","condition","time","decision","accuracy","threshold","bias","drift","noise"
"1","turtle",20,"left","incorrect","18.7459863134702","0.444386249679792","-0.179324987566574","0.705650950561375"
"1","turtle",21,"right","incorrect","20.1531366678008","0.444386249679792","0.182504246730109","-0.614325486162091"
"1","turtle",222,"right","correct","20.5537330410715","0.444386249679792","-0.214268629188953","0.173057218415859"
"1","turtle",7,"left","correct","21.957102587239","0.444386249679792","0.290006010148837","1.53750116499665"
"1","cheetah",189,"right","incorrect","10.3269257460371","0.444386249679792","0.267466876425398","-0.291753009655189"
"1","turtle",12,"right","correct","19.8389547178028","0.444386249679792","-0.115966810347908","-0.676936615002196"
"1","turtle",26,"left","correct","19.3189944256641","0.444386249679792","0.397948138279232","0.0308164595144769"
"1","cheetah",5,"right","incorrect","11.3072244864115","0.444386249679792","0.10398787489826","-1.18895190482454"
"1","cheetah",14,"right","correct","9.1388898058837","0.444386249679792","-0.169252485704205","-0.141877694390698"
"1","cheetah",4,"right","correct","9.86806857613897","0.444386249679792","-0.15596015068103","-0.948759827786611"
"1","cheetah",15,"left","incorrect","10.892557402752","0.444386249679792","-0.174919054464172","0.582408557303714"
"1","cheetah",5,"right","correct","9.80531776997667","0.444386249679792","-0.0967506509619776","-0.816362536889299"
"1","turtle",75,"left","correct","20.9195220199678","0.444386249679792","0.144963520070569","0.0117777870817111"
"1","cheetah",14,"left","incorrect","9.025016264391","0.444386249679792","-0.0405072302852247","0.420687823783653"
"1","cheetah",4,"left","correct","9.94738416481088","0.444386249679792","0.332117083421785","1.13548471579092"
"1","turtle",39,"left","correct","20.5675313875632","0.444386249679792","0.361883910359875","-0.0621920649917342"
"1","turtle",12,"left","correct","19.6332848346668","0.444386249679792","0.272306955214814","0.68203207017049"
"1","turtle",9,"left","correct","21.0310407734981","0.444386249679792","0.160368175281163","1.20476223974317"
"1","cheetah",43,"left","correct","11.0820339572709","0.444386249679792","0.108263661027611","0.0364939768488586"
"1","cheetah",19,"left","correct","9.63289302817797","0.444386249679792","0.223925668072321","0.0673738837011283"
"1","cheetah",5,"left","correct","10.0667967797248","0.444386249679792","0.0491920934304703","1.21831463912727"
"1","turtle",14,"right","incorrect","18.4197620428267","0.444386249679792","0.25293097805007","-0.852723243274178"
"1","cheetah",9,"right","correct","10.9266499062462","0.444386249679792","-0.178246543687267","-0.402157793983612"
"1","turtle",14,"left","incorrect","20.0589397691951","0.444386249679792","-0.171590461958725","1.01432182992086"
"1","turtle",14,"left","correct","18.8444045106611","0.444386249679792","0.327297923188044","0.453709644661683"
"1","cheetah",6,"left","incorrect","10.9732444902175","0.444386249679792","-0.377438877251663","1.54340836539201"
"1","turtle",25,"left","incorrect","20.2734741517781","0.444386249679792","-0.508896321434445","0.967704196971285"
"1","cheetah",9,"left","correct","10.7017550679142","0.444386249679792","0.386605159782197","0.27627179587706"
"1","turtle",10,"right","incorrect","20.9184109922201","0.444386249679792","0.232047207908313","-1.26372953697049"
"1","turtle",14,"left","correct","19.4132672683639","0.444386249679792","0.25808662272681","0.56859825936374"
"1","cheetah",4,"left","correct","10.4421661329399","0.444386249679792","0.155182698433737","1.5842512411509"
"1","turtle",24,"right","incorrect","18.6213154524565","0.444386249679792","0.0946985560736828","-0.444032087115416"
"1","turtle",20,"left","correct","21.215164125519","0.444386249679792","0.196171429561002","0.412821871278646"
"1","cheetah",5,"right","correct","10.8270707743708","0.444386249679792","-0.044913337689649","-0.95156520810668"
"1","turtle",9,"left","correct","20.1023832432805","0.444386249679792","0.161162221726579","1.20131273199712"
"1","cheetah",24,"right","correct","9.99057979032058","0.444386249679792","-0.237791676639536","0.0451497716147681"
"1","cheetah",81,"right","correct","9.76604787555766","0.444386249679792","-0.225716208853351","0.172095742450445"
"1","turtle",22,"left","correct","20.5195287234861","0.444386249679792","0.127392695400255","0.397731543671717"
"1","turtle",18,"right","correct","17.5475711721304","0.444386249679792","-0.206206874748361","-0.240244165740493"
"1","turtle",17,"left","correct","21.5063697298471","0.444386249679792","0.224741259514768","0.492228681756209"
"1","turtle",28,"left","correct","18.6420411496984","0.444386249679792","0.231202870564076","0.140227801170879"
"1","turtle",12,"left","correct","20.5084203316081","0.444386249679792","0.334038212443227","0.642802375640493"
"1","turtle",9,"right","correct","20.2916850435792","0.444386249679792","-0.0011110108402802","-1.03588995046851"
"1","cheetah",4,"right","correct","10.6085962141693","0.444386249679792","-0.236501997980511","-1.00118399035296"
